pk_occupation_id,employment,wage
397,10080,59500
398,15600,38450
399,374770,48630
400,1984180,48310
401,17730,37870
402,24580,36690
403,71000,36360
404,6910,37760
405,93650,33100
406,8630,33370
407,46760,35720
408,190680,30000
409,5790,36360
410,143330,45880
411,3120,63940
412,18250,78130
413,2440,52300
414,29370,44320
415,3470700,29430
416,305260,208000
417,400420,24600
418,243180,28080
419,321400,95300
420,103680,45630
421,181360,126230
422,835360,62290
423,31590,80850
424,211710,103150
425,6270,84030
426,77270,76530
427,66560,60220
428,321400,95300
429,386120,59840
430,211710,103150
431,780890,38380
432,1280,105310
433,163690,102600
434,416320,95270
435,579740,38580
436,198660,63740
437,33130,39880
438,25660,48260
439,11430,62680
440,227580,45520
441,445540,49840
442,105900,76390
443,107400,83640
444,64290,60340
445,52160,49110
446,168680,37220
447,740780,131710
448,2148350,29760
449,26280,46640
450,28230,148030
451,15540,50750
452,119250,60900
453,62200,77010
454,2934050,31230
455,18120,67950
456,914230,34430
457,19410,44240
458,175730,28350
459,14830,123470
460,707160,127990
461,6890,51690
462,159940,47710
463,131680,61190
464,77660,29450
465,4330,77100
466,73330,36970
467,632020,48070
468,107930,25630
469,1059840,38280
470,5210,57900
471,242630,45940
472,345550,63380
473,12130,28570
474,15240,46910
475,36440,79740
476,39870,59430
477,3950,37820
478,24780,46400
479,202970,77030
480,202970,77030
481,202970,77030
482,543290,124650
483,134980,85570
484,51010,37010
485,316860,47730
486,38380,77360
487,771390,28780
488,67750,32550
489,62770,48900
490,1485990,43180
491,2970,134750
492,808860,93000
493,138020,29210
494,3630,36360
495,321400,95300
496,7450,93370
497,798620,63920
498,328570,135030
499,62080,49880
500,86270,46910
501,21510,98300
502,7620,100090
503,46560,77580
504,2070,108100
505,133460,29730
506,27330,45060
507,47540,60200
508,39610,60460
509,277560,95300
510,150420,100640
511,153770,79000
512,153770,79000
513,15680,45280
514,752460,37190
515,63890,38220
516,58830,49910
517,110550,95310
518,682630,37450
519,48680,30100
520,335500,57800
521,335500,57800
522,476750,101340
523,112070,49470
524,351000,48520
525,107940,49130
526,173110,32060
527,19320,46690
528,20460,45720
529,19710,79260
530,150420,100640
531,611120,61320
532,41130,58750
533,15480,46850
534,40930,60330
535,7390,97090
536,108900,38420
537,158350,58030
538,3350,55630
539,720,60780
540,2070,32730
541,39060,37500
542,165820,36370
543,55300,82530
544,23940,48950
545,1900,29350
546,24920,46730
547,3110,38670
548,14700,38170
549,137060,37630
550,12240,47630
551,11690,49130
552,16920,59500
553,6330,37160
554,31750,63419
555,459460,27490
556,150420,100640
557,66560,60220
558,82570,137900
559,30080,100300
560,325930,80600
561,162800,45720
562,11340,208000
563,45170,37840
564,44530,48370
565,70250,61950
566,12250,120380
567,16910,78760
568,5880,99340
569,5450,104260
570,5880,99340
571,46540,195610
572,7950,112830
573,258230,120680
574,1310090,30310
575,69190,77440
576,21450,208000
577,109430,77560
578,23670,51120
579,134980,85570
580,3710,33560
581,43810,61730
582,2517350,37030
583,30410,36630
584,1081230,74670
585,423040,48360
586,105080,82360
587,20200,37270
588,66060,37180
589,162800,45720
590,12580,208000
591,73460,37570
