pk_education_id,education,education_years
1,No formal educational credential,14
2,High school diploma or equivalent,17
3,"Some college, no degree",18
4,Postsecondary nondegree award,18.5
5,Associate's degree,19
6,Bachelor's degree,21
7,Master's degree,22
8,Doctoral or professional degree,22
