factor,factor_name,factor_abbv,nitems,item,loading,crossloadings,variance,purity_norm,relevance_norm
factor1,rhetoric,Rt,10,skl_negotiation,0.6206190153813744,1.0451732744585778,105.57251019869697,0.47812646705703393,0.14207325445358776
factor1,rhetoric,Rt,10,skl_persuasion,0.6126968520816716,1.1389345760265264,110.27656891754177,0.44074636872939615,0.12338729495079631
factor1,rhetoric,Rt,10,abl_speech_clarity,0.5123179326156978,1.2578956995426798,58.12680263995258,0.36011425824288046,0.05980261654941099
factor1,rhetoric,Rt,10,abl_speech_recognition,0.48772081795191424,1.0693149180212895,47.69156457450238,0.42039668075122266,0.07382282776014483
factor1,rhetoric,Rt,10,skl_active_listening,0.48726118788783296,1.3508114598225684,80.10928440185307,0.3167461074536909,0.05431444346880464
factor1,rhetoric,Rt,10,skl_social_perceptiveness,0.4817989644069811,1.4030713612175063,91.65269988388926,0.2955267409977429,0.050572862408908036
factor1,rhetoric,Rt,10,skl_speaking,0.46430499284377946,1.4939686820471731,91.94334659383739,0.255680762373994,0.037914697353827374
factor1,rhetoric,Rt,10,abl_oral_expression,0.44830827432069986,1.4304036339283965,68.86454451373375,0.27316746820058024,0.03745476956517298
factor1,rhetoric,Rt,10,abl_written_expression,0.4178641819632481,1.4416631103500015,132.39218892038355,0.2578367209290986,0.046267076122663515
factor1,rhetoric,Rt,10,skl_writing,0.40869288444621443,1.550421840129665,116.68295481281315,0.2144841854714488,0.030056997548152886
factor2,engineering,Eg,7,knw_industrial_design,0.8287758994670497,1.1082109925535253,363.11815327382766,0.5314740659121543,0.32556631955566034
factor2,engineering,Eg,7,knw_engineering_and_technology,0.7819479798173483,1.4034007333364196,407.421129980487,0.40574414715496765,0.20099147485839106
factor2,engineering,Eg,7,knw_physics,0.7209395831582713,1.413041112698953,254.99058524705458,0.37977278398542647,0.13930319720422335
factor2,engineering,Eg,7,knw_building_and_construction,0.7125985154315356,0.8357169148656448,389.54787176967443,0.5889380143189278,0.41406729410723464
factor2,engineering,Eg,7,knw_mechanical,0.6874932351059947,1.0657019085872665,473.1307954132019,0.4951636770781787,0.3225815332395966
factor2,engineering,Eg,7,knw_production_and_processing,0.5495477013133774,0.5412557597046357,284.21250975866286,0.6372460797044227,0.41408287926944765
factor2,engineering,Eg,7,skl_quality_control_analysis,0.471701410980586,1.561343515354645,206.1689685771904,0.2336319557215704,0.04740536260396962
factor3,health_science,Hs,6,knw_medicine_and_dentistry,0.8026867194905861,0.5529764321817082,332.2920548079303,0.7259944471220009,0.581136176066754
factor3,health_science,Hs,6,knw_biology,0.7521379397038136,0.8751913080839638,298.9075190218631,0.5889619205380412,0.3627389464856661
factor3,health_science,Hs,6,knw_therapy_and_counseling,0.7223766961209953,0.7113908296922481,398.69163514312316,0.6382363997607872,0.4919636727720355
