occupation,education,education_years
"Industrial-Organizational Psychologists","Master's degree",22.0
"Information Security Analysts","Bachelor's degree",21.0
"Information Technology Project Managers","Bachelor's degree",21.0
"Inspectors, Testers, Sorters, Samplers, and Weighers","High school diploma or equivalent",17.0
"Instructional Coordinators","Master's degree",22.0
"Insulation Workers, Floor, Ceiling, and Wall","No formal educational credential",14.0
"Insulation Workers, Mechanical","High school diploma or equivalent",17.0
"Insurance Appraisers, Auto Damage","Postsecondary nondegree award",18.5
"Insurance Claims and Policy Processing Clerks","High school diploma or equivalent",17.0
"Insurance Sales Agents","High school diploma or equivalent",17.0
"Insurance Underwriters","Bachelor's degree",21.0
"Intelligence Analysts","High school diploma or equivalent",17.0
"Interior Designers","Bachelor's degree",21.0
"Interpreters and Translators","Bachelor's degree",21.0
"Interviewers, Except Eligibility and Loan","High school diploma or equivalent",17.0
"Investment Fund Managers","Bachelor's degree",21.0
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners","No formal educational credential",14.0
"Jewelers and Precious Stone and Metal Workers","High school diploma or equivalent",17.0
"Judges, Magistrate Judges, and Magistrates","Doctoral or professional degree",22.0
"Judicial Law Clerks","Doctoral or professional degree",22.0
"Kindergarten Teachers, Except Special Education","Bachelor's degree",21.0
"Labor Relations Specialists","Bachelor's degree",21.0
"Laborers and Freight, Stock, and Material Movers, Hand","No formal educational credential",14.0
"Landscape Architects","Bachelor's degree",21.0
"Landscaping and Groundskeeping Workers","No formal educational credential",14.0
"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic","High school diploma or equivalent",17.0
"Laundry and Dry-Cleaning Workers","No formal educational credential",14.0
"Law Teachers, Postsecondary","Doctoral or professional degree",22.0
Lawyers,"Doctoral or professional degree",22.0
"Layout Workers, Metal and Plastic","High school diploma or equivalent",17.0
"Legal Secretaries and Administrative Assistants","High school diploma or equivalent",17.0
"Librarians and Media Collections Specialists","Master's degree",22.0
"Library Assistants, Clerical","High school diploma or equivalent",17.0
"Library Science Teachers, Postsecondary","Doctoral or professional degree",22.0
"Library Technicians","Postsecondary nondegree award",18.5
"Licensed Practical and Licensed Vocational Nurses","Postsecondary nondegree award",18.5
"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers","No formal educational credential",14.0
"Light Truck Drivers","High school diploma or equivalent",17.0
"Loading and Moving Machine Operators, Underground Mining","No formal educational credential",14.0
"Loan Interviewers and Clerks","High school diploma or equivalent",17.0
"Loan Officers","Bachelor's degree",21.0
"Locker Room, Coatroom, and Dressing Room Attendants","High school diploma or equivalent",17.0
"Locksmiths and Safe Repairers","High school diploma or equivalent",17.0
"Locomotive Engineers","High school diploma or equivalent",17.0
"Lodging Managers","High school diploma or equivalent",17.0
"Log Graders and Scalers","High school diploma or equivalent",17.0
"Logging Equipment Operators","High school diploma or equivalent",17.0
Logisticians,"Bachelor's degree",21.0
"Logistics Analysts","Bachelor's degree",21.0
"Logistics Engineers","Bachelor's degree",21.0
"Loss Prevention Managers","Bachelor's degree",21.0
"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists","Master's degree",22.0
"Machine Feeders and Offbearers","No formal educational credential",14.0
Machinists,"High school diploma or equivalent",17.0
"Magnetic Resonance Imaging Technologists","Associate's degree",19.0
"Maids and Housekeeping Cleaners","No formal educational credential",14.0
"Mail Clerks and Mail Machine Operators, Except Postal Service","High school diploma or equivalent",17.0
"Maintenance Workers, Machinery","High school diploma or equivalent",17.0
"Maintenance and Repair Workers, General","High school diploma or equivalent",17.0
"Makeup Artists, Theatrical and Performance","Postsecondary nondegree award",18.5
"Management Analysts","Bachelor's degree",21.0
"Manicurists and Pedicurists","Postsecondary nondegree award",18.5
"Manufactured Building and Mobile Home Installers","High school diploma or equivalent",17.0
"Manufacturing Engineers","Bachelor's degree",21.0
"Marine Engineers and Naval Architects","Bachelor's degree",21.0
"Market Research Analysts and Marketing Specialists","Bachelor's degree",21.0
"Marketing Managers","Bachelor's degree",21.0
"Marriage and Family Therapists","Master's degree",22.0
"Massage Therapists","Postsecondary nondegree award",18.5
"Materials Engineers","Bachelor's degree",21.0
"Materials Scientists","Bachelor's degree",21.0
"Mathematical Science Teachers, Postsecondary","Doctoral or professional degree",22.0
Mathematicians,"Master's degree",22.0
"Meat, Poultry, and Fish Cutters and Trimmers","No formal educational credential",14.0
"Mechanical Door Repairs","High school diploma or equivalent",17.0
"Mechanical Drafters","Associate's degree",19.0
"Mechanical Engineering Technologists and Technicians","Associate's degree",19.0
"Mechanical Engineers","Bachelor's degree",21.0
"Mechatronics Engineers","Bachelor's degree",21.0
"Media Programming Directors","Bachelor's degree",21.0
"Media Technical Directors/Managers","Bachelor's degree",21.0
"Medical Appliance Technicians","High school diploma or equivalent",17.0
"Medical Assistants","Postsecondary nondegree award",18.5
"Medical Equipment Preparers","High school diploma or equivalent",17.0
"Medical Equipment Repairers","Associate's degree",19.0
"Medical Scientists, Except Epidemiologists","Doctoral or professional degree",22.0
"Medical Secretaries and Administrative Assistants","High school diploma or equivalent",17.0
"Medical Transcriptionists","Postsecondary nondegree award",18.5
"Medical and Clinical Laboratory Technicians","Postsecondary nondegree award",18.5
"Medical and Clinical Laboratory Technologists","Bachelor's degree",21.0
"Medical and Health Services Managers","Bachelor's degree",21.0
"Meeting, Convention, and Event Planners","Bachelor's degree",21.0
"Mental Health Counselors","Master's degree",22.0
"Mental Health and Substance Abuse Social Workers","Master's degree",22.0
"Merchandise Displayers and Window Trimmers","High school diploma or equivalent",17.0
