occupation,education,education_years
"Tax Preparers","High school diploma or equivalent",17.0
"Teaching Assistants, Postsecondary","Bachelor's degree",21.0
"Team Assemblers","High school diploma or equivalent",17.0
"Technical Writers","Bachelor's degree",21.0
"Telecommunications Engineering Specialists","Bachelor's degree",21.0
"Telecommunications Equipment Installers and Repairers, Except Line Installers","Postsecondary nondegree award",18.5
"Telecommunications Line Installers and Repairers","High school diploma or equivalent",17.0
Telemarketers,"No formal educational credential",14.0
"Telephone Operators","High school diploma or equivalent",17.0
Tellers,"High school diploma or equivalent",17.0
"Terrazzo Workers and Finishers","High school diploma or equivalent",17.0
"Textile Bleaching and Dyeing Machine Operators and Tenders","High school diploma or equivalent",17.0
"Textile Cutting Machine Setters, Operators, and Tenders","High school diploma or equivalent",17.0
"Textile Knitting and Weaving Machine Setters, Operators, and Tenders","High school diploma or equivalent",17.0
"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders","High school diploma or equivalent",17.0
"Tile and Stone Setters","No formal educational credential",14.0
"Timing Device Assemblers and Adjusters","High school diploma or equivalent",17.0
"Tire Builders","High school diploma or equivalent",17.0
"Tire Repairers and Changers","High school diploma or equivalent",17.0
"Title Examiners, Abstractors, and Searchers","High school diploma or equivalent",17.0
"Tool Grinders, Filers, and Sharpeners","High school diploma or equivalent",17.0
"Tool and Die Makers","Postsecondary nondegree award",18.5
"Tour Guides and Escorts","Postsecondary nondegree award",18.5
"Traffic Technicians","High school diploma or equivalent",17.0
"Training and Development Managers","Bachelor's degree",21.0
"Training and Development Specialists","Bachelor's degree",21.0
"Transit and Railroad Police","High school diploma or equivalent",17.0
"Transportation Engineers","Bachelor's degree",21.0
"Transportation Inspectors","High school diploma or equivalent",17.0
"Transportation Planners","Bachelor's degree",21.0
"Transportation Security Screeners","High school diploma or equivalent",17.0
"Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation","High school diploma or equivalent",17.0
"Transportation, Storage, and Distribution Managers","High school diploma or equivalent",17.0
"Travel Agents","High school diploma or equivalent",17.0
"Travel Guides","Postsecondary nondegree award",18.5
"Treasurers and Controllers","Bachelor's degree",21.0
"Tree Trimmers and Pruners","High school diploma or equivalent",17.0
Tutors,"Bachelor's degree",21.0
"Umpires, Referees, and Other Sports Officials","High school diploma or equivalent",17.0
Upholsterers,"High school diploma or equivalent",17.0
"Urban and Regional Planners","Master's degree",22.0
Urologists,"Doctoral or professional degree",22.0
"Ushers, Lobby Attendants, and Ticket Takers","No formal educational credential",14.0
"Validation Engineers","Bachelor's degree",21.0
Veterinarians,"Doctoral or professional degree",22.0
"Veterinary Assistants and Laboratory Animal Caretakers","High school diploma or equivalent",17.0
"Veterinary Technologists and Technicians","Associate's degree",19.0
"Video Game Designers","Bachelor's degree",21.0
"Waiters and Waitresses","No formal educational credential",14.0
"Watch and Clock Repairers","High school diploma or equivalent",17.0
"Water Resource Specialists","Bachelor's degree",21.0
"Water and Wastewater Treatment Plant and System Operators","High school diploma or equivalent",17.0
"Water/Wastewater Engineers","Bachelor's degree",21.0
"Weatherization Installers and Technicians","High school diploma or equivalent",17.0
"Web Administrators","Bachelor's degree",21.0
"Web Developers","Postsecondary nondegree award",18.5
"Weighers, Measurers, Checkers, and Samplers, Recordkeeping","High school diploma or equivalent",17.0
"Welders, Cutters, Solderers, and Brazers","High school diploma or equivalent",17.0
"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders","High school diploma or equivalent",17.0
"Wellhead Pumpers","High school diploma or equivalent",17.0
"Wholesale and Retail Buyers, Except Farm Products","Postsecondary nondegree award",18.5
"Wind Energy Development Managers","Bachelor's degree",21.0
"Wind Energy Engineers","Bachelor's degree",21.0
"Wind Energy Operations Managers","Postsecondary nondegree award",18.5
"Wind Turbine Service Technicians","Postsecondary nondegree award",18.5
"Woodworking Machine Setters, Operators, and Tenders, Except Sawing","High school diploma or equivalent",17.0
"Word Processors and Typists","High school diploma or equivalent",17.0
"Writers and Authors","Bachelor's degree",21.0
"Zoologists and Wildlife Biologists","Bachelor's degree",21.0
